"Site Crawled","https://mychef.ae/"
"Date","2026-08-26"
"Time","04:50:19"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Total URLs Encountered","884","100,00%","884","URLs Encountered"
"Total URLs Crawled","671","75,90%","884","URLs Encountered"
"Total Internal blocked by robots.txt","212","23,98%","884","URLs Encountered"
"Total External blocked by robots.txt","1","0,11%","884","URLs Encountered"
""
"URLs Displayed","884","100,00%","884","URLs Displayed"
"Total Internal URLs","665","75,23%","884","URLs Displayed"
"Total External URLs","219","24,77%","884","URLs Displayed"
"Total Internal Indexable URLs","402","45,48%","884","URLs Displayed"
"Total Internal Non-Indexable URLs","263","29,75%","884","URLs Displayed"
""
"Internal"
"All","665","100,00%","665","Internal URLs"
"HTML","264","39,70%","665","Internal URLs"
"JavaScript","2","0,30%","665","Internal URLs"
"CSS","1","0,15%","665","Internal URLs"
"Images","186","27,97%","665","Internal URLs"
"PDF","0","0,00%","665","Internal URLs"
"Flash","0","0,00%","665","Internal URLs"
"Other","0","0,00%","665","Internal URLs"
"Unknown","212","31,88%","665","Internal URLs"
""
"External"
"All","219","100,00%","219","External URLs"
"HTML","216","98,63%","219","External URLs"
"JavaScript","1","0,46%","219","External URLs"
"CSS","1","0,46%","219","External URLs"
"Images","0","0,00%","219","External URLs"
"PDF","0","0,00%","219","External URLs"
"Flash","0","0,00%","219","External URLs"
"Other","0","0,00%","219","External URLs"
"Unknown","1","0,46%","219","External URLs"
""
"Security"
"All","665","100,00%","665","All internal and non-HTML external URLs"
"HTTP URLs","0","0,00%","665","All internal and non-HTML external URLs"
"HTTPS URLs","665","100,00%","665","All internal and non-HTML external URLs"
"Mixed Content","0","0,00%","665","All internal and non-HTML external URLs"
"Form URL Insecure","0","0,00%","665","All internal and non-HTML external URLs"
"Form on HTTP URL","0","0,00%","665","All internal and non-HTML external URLs"
"Unsafe Cross-Origin Links","0","0,00%","665","All internal and non-HTML external URLs"
"Protocol-Relative Resource Links","0","0,00%","665","All internal and non-HTML external URLs"
"Missing HSTS Header","0","0,00%","665","All internal and non-HTML external URLs"
"Missing Content-Security-Policy Header","451","67,82%","665","All internal and non-HTML external URLs"
"Missing X-Content-Type-Options Header","451","67,82%","665","All internal and non-HTML external URLs"
"Missing X-Frame-Options Header","451","67,82%","665","All internal and non-HTML external URLs"
"Missing Secure Referrer-Policy Header","451","67,82%","665","All internal and non-HTML external URLs"
"Bad Content Type","4","0,60%","665","All internal and non-HTML external URLs"
""
"Response Codes"
"All","884","100,00%","884","All Internal & External Crawled URLs"
"Blocked by Robots.txt","213","24,10%","884","All Internal & External Crawled URLs"
"Blocked Resource","0","0,00%","884","All Internal & External Crawled URLs"
"No Response","0","0,00%","884","All Internal & External Crawled URLs"
"Success (2xx)","460","52,04%","884","All Internal & External Crawled URLs"
"Redirection (3xx)","211","23,87%","884","All Internal & External Crawled URLs"
"Redirection (JavaScript)","0","0,00%","884","All Internal & External Crawled URLs"
"Redirection (Meta Refresh)","0","0,00%","884","All Internal & External Crawled URLs"
"Client Error (4xx)","0","0,00%","884","All Internal & External Crawled URLs"
"Server Error (5xx)","0","0,00%","884","All Internal & External Crawled URLs"
"Internal All","665","75,23%","884","All Internal Crawled URLs"
"Internal Blocked by Robots.txt","212","23,98%","884","All Internal Crawled URLs"
"Internal Blocked Resource","0","0,00%","884","All Internal Crawled URLs"
"Internal No Response","0","0,00%","884","All Internal Crawled URLs"
"Internal Success (2xx)","451","51,02%","884","All Internal Crawled URLs"
"Internal Redirection (3xx)","2","0,23%","884","All Internal Crawled URLs"
"Internal Redirection (JavaScript)","0","0,00%","884","All Internal Crawled URLs"
"Internal Redirection (Meta Refresh)","0","0,00%","884","All Internal Crawled URLs"
"Internal Redirect Chain","0","0,00%","884","All Internal Crawled URLs"
"Internal Redirect Loop","0","0,00%","884","All Internal Crawled URLs"
"Internal Client Error (4xx)","0","0,00%","884","All Internal Crawled URLs"
"Internal Server Error (5xx)","0","0,00%","884","All Internal Crawled URLs"
"External All","219","24,77%","884","All External Crawled URLs"
"External Blocked by Robots.txt","1","0,11%","884","All External Crawled URLs"
"External Blocked Resource","0","0,00%","884","All External Crawled URLs"
"External No Response","0","0,00%","884","All External Crawled URLs"
"External Success (2xx)","9","1,02%","884","All External Crawled URLs"
"External Redirection (3xx)","209","23,64%","884","All External Crawled URLs"
"External Redirection (JavaScript)","0","0,00%","884","All External Crawled URLs"
"External Redirection (Meta Refresh)","0","0,00%","884","All External Crawled URLs"
"External Client Error (4xx)","0","0,00%","884","All External Crawled URLs"
"External Server Error (5xx)","0","0,00%","884","All External Crawled URLs"
""
"URL"
"All","665","100,00%","665","Internal URLs"
"Non ASCII Characters","0","0,00%","665","Internal URLs"
"Underscores","11","1,65%","665","Internal URLs"
"Uppercase","0","0,00%","665","Internal URLs"
"Multiple Slashes","0","0,00%","665","Internal URLs"
"Repetitive Path","0","0,00%","665","Internal URLs"
"Contains Space","0","0,00%","665","Internal URLs"
"Internal Search","0","0,00%","665","Internal URLs"
"Parameters","11","1,65%","665","Internal URLs"
"Broken Bookmark","0","0,00%","665","Internal URLs"
"GA Tracking Parameters","222","33,38%","665","Internal URLs"
"Over 115 Characters","6","0,90%","665","Internal URLs"
""
"Page Titles"
"All","262","100,00%","262","Internal HTML pages with 2xx response"
"Missing","0","0,00%","262","Internal HTML pages with 2xx response"
"Duplicate","0","0,00%","262","Internal HTML pages with 2xx response"
"Over 60 Characters","49","18,70%","262","Internal HTML pages with 2xx response"
"Below 30 Characters","2","0,76%","262","Internal HTML pages with 2xx response"
"Over 561 Pixels","44","16,79%","262","Internal HTML pages with 2xx response"
"Below 200 Pixels","1","0,38%","262","Internal HTML pages with 2xx response"
"Same as H1","0","0,00%","262","Internal HTML pages with 2xx response"
"Multiple","0","0,00%","262","Internal HTML pages with 2xx response"
"Outside <head>","0","0,00%","262","Internal HTML pages with 2xx response"
""
"Meta Description"
"All","262","100,00%","262","Internal HTML pages with 2xx response"
"Missing","0","0,00%","262","Internal HTML pages with 2xx response"
"Duplicate","0","0,00%","262","Internal HTML pages with 2xx response"
"Over 155 Characters","39","14,89%","262","Internal HTML pages with 2xx response"
"Below 70 Characters","0","0,00%","262","Internal HTML pages with 2xx response"
"Over 985 Pixels","14","5,34%","262","Internal HTML pages with 2xx response"
"Below 400 Pixels","0","0,00%","262","Internal HTML pages with 2xx response"
"Multiple","0","0,00%","262","Internal HTML pages with 2xx response"
"Outside <head>","0","0,00%","262","Internal HTML pages with 2xx response"
""
"Meta Keywords"
"All","262","100,00%","262","Internal HTML pages with 2xx response"
"Missing","213","81,30%","262","Internal HTML pages with 2xx response"
"Duplicate","0","0,00%","262","Internal HTML pages with 2xx response"
"Multiple","0","0,00%","262","Internal HTML pages with 2xx response"
""
"H1"
"All","262","100,00%","262","Internal HTML pages with 2xx response"
"Missing","0","0,00%","262","Internal HTML pages with 2xx response"
"Duplicate","0","0,00%","262","Internal HTML pages with 2xx response"
"Over 70 Characters","15","5,73%","262","Internal HTML pages with 2xx response"
"Multiple","0","0,00%","262","Internal HTML pages with 2xx response"
"Alt Text in H1","0","0,00%","262","Internal HTML pages with 2xx response"
"Non-Sequential","0","0,00%","262","Internal HTML pages with 2xx response"
""
"H2"
"All","262","100,00%","262","Internal HTML pages with 2xx response"
"Missing","0","0,00%","262","Internal HTML pages with 2xx response"
"Duplicate","21","8,02%","262","Internal HTML pages with 2xx response"
"Over 70 Characters","17","6,49%","262","Internal HTML pages with 2xx response"
"Multiple","213","81,30%","262","Internal HTML pages with 2xx response"
"Non-Sequential","2","0,76%","262","Internal HTML pages with 2xx response"
""
"Content"
"All","262","100,00%","262","Content in URL"
"Exact Duplicates","0","0,00%","262","Content in URL"
"Near Duplicates","0","0,00%","262","Content in URL"
"Low Content Pages","3","1,15%","262","Content in URL"
"Soft 404 Pages","0","0,00%","262","Content in URL"
"Spelling Errors","0","0,00%","262","Content in URL"
"Grammar Errors","0","0,00%","262","Content in URL"
"Readability Difficult","5","1,91%","262","Content in URL"
"Readability Very Difficult","0","0,00%","262","Content in URL"
"Lorem Ipsum Placeholder","0","0,00%","262","Content in URL"
""
"Images"
"All","186","100,00%","186","Images with 2xx response"
"Over 100 KB","95","51,08%","186","Images with 2xx response"
"Missing Alt Text","0","0,00%","186","Images with 2xx response"
"Missing Alt Attribute","0","0,00%","186","Images with 2xx response"
"Alt Text Over 100 Characters","33","17,74%","186","Images with 2xx response"
"Background Images","0","0,00%","186","Images with 2xx response"
"Incorrectly Sized Images","0","0,00%","186","Images with 2xx response"
"Missing Size Attributes","98","52,69%","186","Images with 2xx response"
""
"Canonicals"
