"Type","Source","Destination","Alt Text","Length","Path Type","Link Path","Link Position","Link Origin","Real Dimensions","Dimensions in Attributes","Display Dimensions"
"Image","https://www.mychef.ae/","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/section[@id='services']/div/div[2]/div[1]/a[1]/div[1]/img","Content","HTML","","640x400",""
"Image","https://www.mychef.ae/full-time-private-chef-dubai","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Part-Time Private Chef Dubai","28","Root-Relative","//body/div/div/main/div/div[1]/section[6]/div/div/a[1]/div[1]/img","Content","HTML","","",""
"Image","https://www.mychef.ae/full-time-private-chef-dubai","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/div[1]/section[6]/div/div/a[3]/div[1]/img","Content","HTML","","",""
"Image","https://www.mychef.ae/luxury-dining-experiences","https://www.mychef.ae/images/private-chef-dubai-hero.webp","A private chef talking with guests in a home kitchen. Experience concept shown.","79","Root-Relative","//body/div/div/main/div/div/section[15]/div/div/div/figure/img","Content","HTML","","1200x800",""
"Image","https://www.mychef.ae/catering","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/section[@id='services']/div/div[2]/div[1]/a[1]/div[1]/img","Content","HTML","","640x400",""
"Image","https://www.mychef.ae/private-chef-dubai","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private chef cooking at the island of a contemporary Dubai villa kitchen at golden hour, dining table set beyond the limestone wall","131","Root-Relative","//body/div/div/main/div/div/section[1]/div[1]/picture/img","Content","HTML","","1280x720",""
"Image","https://www.mychef.ae/vip-club","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private chef service for VIP Club members in Dubai","50","Root-Relative","//body/div/div/main/div/div[1]/section[6]/div/div/div[4]/img","Content","HTML","","",""
"Image","https://www.mychef.ae/vip-club","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/div[1]/section[9]/div/div/a[1]/div[1]/img","Content","HTML","","",""
"Image","https://www.mychef.ae/kids-nutrition-chef-dubai","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Family Feast Package Dubai","26","Root-Relative","//body/div/div/main/div/div[1]/section[6]/div/div/a[3]/div[1]/img","Content","HTML","","",""
"Image","https://www.mychef.ae/mystery-dining-dubai","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/div[1]/section[6]/div/div/a[3]/div[1]/img","Content","HTML","","",""
"Image","https://www.mychef.ae/locations/jumeirah-islands","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/section[@id='services']/div/div[2]/div[1]/a[1]/div[1]/img","Content","HTML","","640x400",""
"Image","https://www.mychef.ae/private-chef-dubai/our-chefs","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/section[@id='services']/div/div[2]/div[1]/a[1]/div[1]/img","Content","HTML","","640x400",""
"Image","https://www.mychef.ae/case-studies/corporate-gala-dinner-downtown-dubai","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/section[@id='services']/div/div[2]/div[1]/a[1]/div[1]/img","Content","HTML","","640x400",""
"Image","https://www.mychef.ae/locations/mirdif","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/section[@id='services']/div/div[2]/div[1]/a[1]/div[1]/img","Content","HTML","","640x400",""
"Image","https://www.mychef.ae/case-studies/product-launch-difc","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/section[@id='services']/div/div[2]/div[1]/a[1]/div[1]/img","Content","HTML","","640x400",""
"Image","https://www.mychef.ae/apartment-private-dining-dubai","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Date Night Package","18","Root-Relative","//body/div/div/main/div/div[1]/section[6]/div/div/a[3]/div[1]/img","Content","HTML","","",""
"Image","https://www.mychef.ae/locations/dubai-internet-city","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/section[@id='services']/div/div[2]/div[1]/a[1]/div[1]/img","Content","HTML","","640x400",""
"Image","https://www.mychef.ae/vip-club?utm_source=mychef.ae&utm_medium=banner&utm_campaign=weekly-meal-prep-dubai","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private chef service for VIP Club members in Dubai","50","Root-Relative","//body/div/div/main/div/div[1]/section[6]/div/div/div[4]/img","Content","HTML","","",""
"Image","https://www.mychef.ae/vip-club?utm_source=mychef.ae&utm_medium=banner&utm_campaign=weekly-meal-prep-dubai","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/div[1]/section[9]/div/div/a[1]/div[1]/img","Content","HTML","","",""
"Image","https://www.mychef.ae/trust-and-programs","https://www.mychef.ae/images/private-chef-dubai-hero.webp","A private chef working in a Dubai kitchen. Experience concept shown.","68","Root-Relative","//body/div/div/main/div/div/section[1]/div[1]/picture/img","Content","HTML","","1683x935",""
"Image","https://www.mychef.ae/case-studies/family-eid-gathering-arabian-ranches","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/section[@id='services']/div/div[2]/div[1]/a[1]/div[1]/img","Content","HTML","","640x400",""
"Image","https://www.mychef.ae/private-dining-dubai","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/section[@id='services']/div/div[2]/div[1]/a[1]/div[1]/img","Content","HTML","","640x400",""
"Image","https://www.mychef.ae/menu-mains.webp","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/section[@id='services']/div/div[2]/div[1]/a[1]/div[1]/img","Content","HTML","","640x400",""
"Image","https://www.mychef.ae/locations/meydan","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/section[@id='services']/div/div[2]/div[1]/a[1]/div[1]/img","Content","HTML","","640x400",""
"Image","https://www.mychef.ae/locations/dubai-harbour","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/section[@id='services']/div/div[2]/div[1]/a[1]/div[1]/img","Content","HTML","","640x400",""
"Image","https://www.mychef.ae/case-studies/intimate-anniversary-dinner-palm-jumeirah","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/section[@id='services']/div/div[2]/div[1]/a[1]/div[1]/img","Content","HTML","","640x400",""
"Image","https://www.mychef.ae/romantic-dinner-dubai-hero.webp","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/section[@id='services']/div/div[2]/div[1]/a[1]/div[1]/img","Content","HTML","","640x400",""
"Image","https://www.mychef.ae/locations/al-barari","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/section[@id='services']/div/div[2]/div[1]/a[1]/div[1]/img","Content","HTML","","640x400",""
"Image","https://www.mychef.ae/chef-training-academy","https://www.mychef.ae/images/private-chef-dubai-hero.webp","myCHEF Certified","16","Root-Relative","//body/div/div/main/div/div[1]/section[6]/div/div/a[2]/div[1]/img","Content","HTML","","",""
"Image","https://www.mychef.ae/luxury-dining-dubai","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/section[@id='services']/div/div[2]/div[1]/a[1]/div[1]/img","Content","HTML","","640x400",""
"Image","https://www.mychef.ae/locations/dubai-media-city","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/section[@id='services']/div/div[2]/div[1]/a[1]/div[1]/img","Content","HTML","","640x400",""
"Image","https://www.mychef.ae/locations/dubai-creek-harbour","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/section[@id='services']/div/div[2]/div[1]/a[1]/div[1]/img","Content","HTML","","640x400",""
"Image","https://www.mychef.ae/case-studies/villa-wedding-reception-emirates-hills","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/section[@id='services']/div/div[2]/div[1]/a[1]/div[1]/img","Content","HTML","","640x400",""
"Image","https://www.mychef.ae/event-catering-dubai","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/section[@id='services']/div/div[2]/div[1]/a[1]/div[1]/img","Content","HTML","","640x400",""
"Image","https://www.mychef.ae/yacht-catering-dubai","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/section[@id='services']/div/div[2]/div[1]/a[1]/div[1]/img","Content","HTML","","640x400",""
"Image","https://www.mychef.ae/locations/jumeirah-golf-estates","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/section[@id='services']/div/div[2]/div[1]/a[1]/div[1]/img","Content","HTML","","640x400",""
"Image","https://www.mychef.ae/case-studies/yacht-birthday-celebration-dubai-marina","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/section[@id='services']/div/div[2]/div[1]/a[1]/div[1]/img","Content","HTML","","640x400",""
"Image","https://www.mychef.ae/mychef-certified","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/div/section[6]/div/div/a[3]/div[1]/img","Content","HTML","","",""
"Image","https://www.mychef.ae/vip-club?utm_source=mychef.ae&utm_medium=banner&utm_campaign=catering-packages-dubai","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private chef service for VIP Club members in Dubai","50","Root-Relative","//body/div/div/main/div/div[1]/section[6]/div/div/div[4]/img","Content","HTML","","",""
"Image","https://www.mychef.ae/vip-club?utm_source=mychef.ae&utm_medium=banner&utm_campaign=catering-packages-dubai","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/div[1]/section[9]/div/div/a[1]/div[1]/img","Content","HTML","","",""
"Image","https://www.mychef.ae/locations/mall-of-the-emirates","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/section[@id='services']/div/div[2]/div[1]/a[1]/div[1]/img","Content","HTML","","640x400",""
"Image","https://www.mychef.ae/locations/dwtc","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/section[@id='services']/div/div[2]/div[1]/a[1]/div[1]/img","Content","HTML","","640x400",""
"Image","https://www.mychef.ae/vip-club?utm_source=mychef.ae&utm_medium=banner&utm_campaign=wellness-meal-prep-dubai","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private chef service for VIP Club members in Dubai","50","Root-Relative","//body/div/div/main/div/div[1]/section[6]/div/div/div[4]/img","Content","HTML","","",""
"Image","https://www.mychef.ae/vip-club?utm_source=mychef.ae&utm_medium=banner&utm_campaign=wellness-meal-prep-dubai","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/div[1]/section[9]/div/div/a[1]/div[1]/img","Content","HTML","","",""
"Image","https://www.mychef.ae/dessert-table-dubai","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/section[@id='services']/div/div[2]/div[1]/a[1]/div[1]/img","Content","HTML","","640x400",""
"Image","https://www.mychef.ae/influencer-partnerships","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/div/section[6]/div/div/a[3]/div[1]/img","Content","HTML","","",""
"Image","https://www.mychef.ae/founding-customer-offer","https://www.mychef.ae/images/private-chef-dubai-hero.webp","MyChef Membership","17","Root-Relative","//body/div/div/main/div/div/section[6]/div/div/a[1]/div[1]/img","Content","HTML","","",""
"Image","https://www.mychef.ae/founding-customer-offer","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/div/section[6]/div/div/a[3]/div[1]/img","Content","HTML","","",""
"Image","https://www.mychef.ae/locations/dubai-mall","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/section[@id='services']/div/div[2]/div[1]/a[1]/div[1]/img","Content","HTML","","640x400",""
"Image","https://www.mychef.ae/loyalty-programme","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/div/section[6]/div/div/a[3]/div[1]/img","Content","HTML","","",""
"Image","https://www.mychef.ae/images/eid-catering-dubai-hero.webp","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/section[@id='services']/div/div[2]/div[1]/a[1]/div[1]/img","Content","HTML","","640x400",""
"Image","https://www.mychef.ae/images/business-lunch-catering-dubai-hero.webp","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/section[@id='services']/div/div[2]/div[1]/a[1]/div[1]/img","Content","HTML","","640x400",""
"Image","https://www.mychef.ae/live-cooking-station-dubai","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/section[@id='services']/div/div[2]/div[1]/a[1]/div[1]/img","Content","HTML","","640x400",""
"Image","https://www.mychef.ae/villa-catering-dubai","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/section[@id='services']/div/div[2]/div[1]/a[1]/div[1]/img","Content","HTML","","640x400",""
"Image","https://www.mychef.ae/locations/city-walk","https://www.mychef.ae/images/private-chef-dubai-hero.webp","Private Chef Dubai","18","Root-Relative","//body/div/div/main/div/section[@id='services']/div/div[2]/div[1]/a[1]/div[1]/img","Content","HTML","","640x400",""
"Image","https://www.mychef.ae/","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Chef serving canapés on a yacht deck in Dubai","45","Root-Relative","//body/div/div/main/div/section[4]/div/div[2]/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/luxury-dining-experiences","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","A small group eating a chef-prepared meal on board a yacht. Experience concept shown.","85","Root-Relative","//body/div/div/main/div/div/section[10]/div/div/div/figure/img","Content","HTML","","1200x800",""
"Image","https://www.mychef.ae/catering","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Chef serving canapés on a yacht deck in Dubai","45","Root-Relative","//body/div/div/main/div/section[4]/div/div[2]/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/yachts","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Yacht catering in Dubai","23","Root-Relative","//body/div/div/main/div/div[1]/section[1]/div[1]/picture/img","Content","HTML","","1344x752",""
