"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://www.mychef.ae/wedding-catering-menu-planning-dubai?utm_source=mychef.ae&utm_medium=home_guides_teaser&utm_campaign=home","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","8c6ecc25676c9106c07e850ab668a199","127","https://www.mychef.ae/wedding-catering-menu-planning-dubai","https://www.mychef.ae/wedding-catering-menu-planning-dubai?utm_source=mychef.ae&utm_medium=home_guides_teaser&utm_campaign=home"
"https://www.mychef.ae/inquiry?utm_source=mychef.ae&utm_medium=cta_button&utm_campaign=home","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","90","","https://www.mychef.ae/inquiry?utm_source=mychef.ae&utm_medium=cta_button&utm_campaign=home"
"https://www.mychef.ae/dubai-food-trends-report-2026?utm_source=mychef.ae&utm_medium=home_guides_teaser&utm_campaign=home","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","512e504b3e5ae52735dd4665768cacef","120","https://www.mychef.ae/dubai-food-trends-report-2026","https://www.mychef.ae/dubai-food-trends-report-2026?utm_source=mychef.ae&utm_medium=home_guides_teaser&utm_campaign=home"
"https://www.mychef.ae/dubai-event-catering-price-guide-2026?utm_source=mychef.ae&utm_medium=home_guides_teaser&utm_campaign=home","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","a86bc860400acbb21321802425397283","128","https://www.mychef.ae/dubai-event-catering-price-guide-2026","https://www.mychef.ae/dubai-event-catering-price-guide-2026?utm_source=mychef.ae&utm_medium=home_guides_teaser&utm_campaign=home"
"https://www.mychef.ae/yacht-catering-checklist-dubai?utm_source=mychef.ae&utm_medium=home_guides_teaser&utm_campaign=home","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","c85a9a9adafc95e6dd3d791846e12d8e","121","https://www.mychef.ae/yacht-catering-checklist-dubai","https://www.mychef.ae/yacht-catering-checklist-dubai?utm_source=mychef.ae&utm_medium=home_guides_teaser&utm_campaign=home"
"https://www.mychef.ae/weekly-meal-prep-dubai?utm_source=mychef.ae&utm_medium=starter_package_card&utm_campaign=home","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","a609278576689a30c3af13ae9b185888","115","https://www.mychef.ae/weekly-meal-prep-dubai","https://www.mychef.ae/weekly-meal-prep-dubai?utm_source=mychef.ae&utm_medium=starter_package_card&utm_campaign=home"
"https://www.mychef.ae/guides?utm_source=mychef.ae&utm_medium=home_guides_teaser&utm_campaign=home","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","b645bac8ca99d7069ab2a68b1f766a6f","97","https://www.mychef.ae/guides","https://www.mychef.ae/guides?utm_source=mychef.ae&utm_medium=home_guides_teaser&utm_campaign=home"
"https://www.mychef.ae/inquiry?utm_source=mychef.ae&utm_medium=cta_button&utm_campaign=locations-emirates-hills","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","110","","https://www.mychef.ae/inquiry?utm_source=mychef.ae&utm_medium=cta_button&utm_campaign=locations-emirates-hills"
"https://www.mychef.ae/inquiry?utm_source=mychef.ae&utm_medium=inline_link&utm_campaign=catering-packages","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","104","","https://www.mychef.ae/inquiry?utm_source=mychef.ae&utm_medium=inline_link&utm_campaign=catering-packages"
"https://www.mychef.ae/inquiry?utm_source=mychef.ae&utm_medium=cta_button&utm_campaign=locations","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","95","","https://www.mychef.ae/inquiry?utm_source=mychef.ae&utm_medium=cta_button&utm_campaign=locations"
