url,live,silo,parent_hub,page_type,role,keyword,intent,sources
/,True,,,,Primary,private chef and catering dubai,,keyword-map-md
/,True,,,,Secondary,fine dining at home dubai,,keyword-map-md
/,True,,,,Secondary,luxury catering dubai,,keyword-map-md
/,True,,,,Secondary,mychef dubai,,keyword-map-md
/about,True,,,,Primary,private chef company dubai,,keyword-map-md|seo-pages-json
/about,True,,,,Secondary,about mychef dubai,,keyword-map-md
/about,True,,,,Secondary,best private chef company dubai,,seo-pages-json
/about,True,,,,Secondary,full time private chef dubai,,seo-pages-json
/about,True,,,,Secondary,how much does a private chef cost for a meal?,,seo-pages-json
/about,True,,,,Secondary,how much does a private chef cost in dubai?,,seo-pages-json
/about,True,,,,Secondary,luxury catering company dubai,,keyword-map-md
/about,True,,,,Secondary,private chef agency dubai,,keyword-map-md
/about,True,,,,Secondary,private chef at home dubai,,seo-pages-json
/about,True,,,,Secondary,private chef company dubai reviews,,seo-pages-json
/afternoon-tea-catering-dubai,True,Private Events,/events,Commercial landing page,Primary,afternoon tea catering dubai,Transactional / commercial,architecture-500|keyword-map-md|seo-pages-json
/afternoon-tea-catering-dubai,True,Private Events,/events,Commercial landing page,Secondary,afternoon tea at home dubai,,keyword-map-md
/afternoon-tea-catering-dubai,True,Private Events,/events,Commercial landing page,Secondary,afternoon tea catering dubai price,,keyword-map-md|seo-pages-json
/afternoon-tea-catering-dubai,True,Private Events,/events,Commercial landing page,Secondary,afternoon tea catering menu dubai,,keyword-map-md
/afternoon-tea-catering-dubai,True,Private Events,/events,Commercial landing page,Secondary,afternoon tea catering packages dubai,,keyword-map-md
/afternoon-tea-catering-dubai,True,Private Events,/events,Commercial landing page,Secondary,afternoon tea catering price per person dubai,,keyword-map-md
/afternoon-tea-catering-dubai,True,Private Events,/events,Commercial landing page,Secondary,best afternoon tea catering dubai,,keyword-map-md|seo-pages-json
/afternoon-tea-catering-dubai,True,Private Events,/events,Commercial landing page,Secondary,halal afternoon tea catering dubai,,keyword-map-md
/afternoon-tea-catering-dubai,True,Private Events,/events,Commercial landing page,Secondary,high tea catering dubai,Transactional / commercial,architecture-500|keyword-map-md|seo-pages-json
/allergen-aware-catering-dubai,False,,,,Primary,allergen-aware catering dubai,,seo-pages-json
/allergen-aware-catering-dubai,False,,,,Secondary,are caterers exempt from providing allergy information?,,seo-pages-json
/allergen-aware-catering-dubai,False,,,,Secondary,can you refuse to cater for allergies?,,seo-pages-json
/allergen-aware-catering-dubai,False,,,,Secondary,how to cater for people with allergies?,,seo-pages-json
/allergen-aware-catering-dubai,False,,,,Secondary,what 8 foods are 90% of allergies?,,seo-pages-json
/allergy-safe-catering-dubai,True,Cuisines and Dietary,/cuisines-dubai,Commercial landing page,Secondary,allergy aware catering dubai,Transactional / commercial,architecture-500
/allergy-safe-catering-dubai,True,Cuisines and Dietary,/cuisines-dubai,Commercial landing page,Primary,allergy safe catering dubai,,keyword-map-md
/allergy-safe-catering-dubai,True,Cuisines and Dietary,/cuisines-dubai,Commercial landing page,Secondary,allergy safe catering cost per person dubai,,keyword-map-md
/allergy-safe-catering-dubai,True,Cuisines and Dietary,/cuisines-dubai,Commercial landing page,Secondary,allergy safe catering dubai price,,keyword-map-md
/allergy-safe-catering-dubai,True,Cuisines and Dietary,/cuisines-dubai,Commercial landing page,Secondary,allergy safe catering menu dubai,,keyword-map-md
/allergy-safe-catering-dubai,True,Cuisines and Dietary,/cuisines-dubai,Commercial landing page,Secondary,allergy safe catering packages dubai,,keyword-map-md
/allergy-safe-catering-dubai,True,Cuisines and Dietary,/cuisines-dubai,Commercial landing page,Secondary,best allergy safe catering dubai,,keyword-map-md
